follower_count,following_columns_count,following_count,mutual_followees_count
716985,90,2755,12
20,11,36,
,23,18,
,1,29,
1,2,19,
1,1,56,
,,8,
,3,13,
1,,6,
10,5,23,
,,3,
2,4,154,
,10,,
2,,14,
,2,24,
1,9,,
,1,,
9,13,112,
78,418,,
,3,1,
141,48,528,1
1573,2,28,1
443,,11,1
349,5,12,1
610,2,9,1
,,1,
,1,9,
120,1,108,1
1238,6,36,
,1,62,
,2,9,
,,2,
5,3,40,
837,,,1
10,,13,
3,1,23,
,110,,
246334,32,285,2
1864,,10,
6127,13,89,
189056,33,51,3
164,3,23,
62275,13,586,
6,1,166,
,212,,
16155,7,132,
14,78,2,
1,28,,
9,61,281,
3,54,,
1,,1,
5,146,,
867794,191,2146,7
240,,,
694,17,341,
1180,1,19,
357,3,352,
,,48,
22826,46,2259,
,1,11,
786,,,1
65,6,142,
,9,,
4,176,,
48545,30,207,
1,2,,
,,20,
5,19,,
2932,,82,
49137,6,149,
3,,129,
1,2,39,
27137,3,61,2
4,130,,
,,6,
2,4,182,
2,2,45,
,1,13,
,6,,
94673,13,138,1
200952,19,354,1
4,3,53,
355,13,4856,
9,1,36,
54,,4962,
234308,178,229,3
8,2,54,
1,10,,
17,1,234,
,2,,
1819,27,2017,
24228,10,268,
27,4559,,
48,1,3625,
9,7,507,
2,1,394,
95021,52,593,
41,5,99,
9,5,37,
1,,49,
2,68,,
28,454,,
,9,,
3,9,,
139,63,4614,
27,70,,
,80,108,
6,4,41,
2,,51,
358,24,3826,
,376,,
44309,,259,1
4,2,244,
155248,4,337,2
6928,3,57,
98,4,82,
,,14,
,8,,
1,14,,
1,,2,
2,2,10,
1,,6,
,1,38,
197,55,1147,
5,,5,
,104,,
1482,7,82,
18,533,,
4,,3,
,,2,
1,,2,
57,,4964,
,6,,
1,5,135,
1,1,96,
128,,15,
,1,4,
,6,11,
1,21,,
120,183,,
1,,7,
2,,6,
,10,,
19,,66,
1,3,,
17,541,,
30,36,205,
68678,20,512,1
2,156,5,
,10,,
33305,12,419,
273,4,5,
,3,45,
66,600,,
22,21,214,
428041,8,311,4
4,183,1,
,1605,,
2,,18,
4,542,,
,55,,
,8,,
,125,267,
12,,20,
62,,4961,
3,11,,
1,63,,
2,125,,
7,10,185,
1,,3,
1,50,,
,,7,
55,,4959,
1,5,42,
59,,4979,
167,4,107,
93,1,69,
97,,4869,
3,3,36,
1,115,,
44305,,165,1
2,,12,
25,29,859,
31337,,15,
22,9,523,
,6,,
1,9,82,
,6,,
1,,2,
14,11,63,
76,137,117,
2,58,195,
56,512,,
4384,,13,
,,16,
52509,14,288,
,2,,
156,7,3166,
,,25,
8707,64,1148,
,4,,
,7,,
3,158,,
,198,,
21,171,,
1,5,172,
4,23,,
,15,,
16,199,,
,,52,
,3,,
,4949,,
150,,4898,
178097,56,430,1
,6,,
5,14,100,
7,2,28,
1,41,,
,1,,
,5,27,
,1,,
