
1575,52,596,
96522,7,99,
5,135,,
1,6,579,
18,117,,
,60,,
70,2,2077,
10,,74,
,1,4,
,5,,
35,45,573,
108,,4904,
3,1,68,
2,34,,
,27,54,
1,43,390,
1,2,24,
129,4,17,
3,27,115,
1,1,20,
1,,11,
,,17,
,45,,
1375,1,1,
,2,,
252,29,4997,
26,,148,
,,71,
16,14,73,
51036,3,69,
57,490,,
,,16,
62,127,,
1602,2,61,
100,92,3376,1
33,,256,
17,3,23,
15,1,35,
2,17,,
,209,,
,1,,
,29,33,
1,53,,
166,97,603,
40,5,257,
40,13,711,
4,55,,
,139,,
1,305,,
147,1,4,
2,58,257,
,44,,
,14,,
6,2,292,
1,320,,
28023,,5,
208,10,295,
,1,12,
2,18,188,
,98,,
1669,14,122,
8,40,,
2,,16,
70525,40,352,3
16,3,533,
160,,1,
86,1,69,
4,3,19,
40,477,,
15326,7,139,
,,8,
10,9,24,
1134,6,210,
2,20,1,
1,1,168,
129,3,32,
51,2344,,
1,5,80,
2,1,50,
261,2430,,
1,66,,
2,29,100,
,,12,
1,4,,
2,,96,
,8,,
1936,1,2,
49,146,,
20,1213,,
10,26,116,
44,235,778,
4,112,,
67566,1,46,
,,2,
2231,9,655,
15755,,3,
1,23,,
,1,,
2,,53,
,7,,
,,12,
6,,95,
2,10,,
11,25,,
34,603,,
,,,
1786,,19,
1,13,,
3,22,675,
1,,,
31,3,1742,
22,2475,,
5,,110,
2,,6,
2,,3,
,4,,
1,6,,
111,4,104,
,8,82,
4,4,29,
73,3,13,
353,5,830,
3,,79,
1,7,,
851,1,36,
1483,,10,
9,1034,,
12741,25,96,
1,,2,
3,,8,
10136,2,137,1
64,1,16,
9,251,,
,3,61,
13,1,1201,
,,4,
,1,82,
24,383,1164,
,15,,
1,,17,
150,,2,
2,28,,
5,4751,,
7,159,,
,17,145,
,56,323,
7461,105,597,
2,144,,
10,,57,
1,3,141,
91,2071,1,
16,110,,
,,4,
4,22,,
1,252,,
56,344,,
5,1053,,
8,52,1,
,59,,
9,5,1209,
2,7,,
13041,11,264,
6372,1,1,
55,19,122,
,1,2,
1,86,,
,3,,
4,61,,
,273,,
70,493,,
41,4,21,
,10,,
19,827,,
33,38,233,
65,24,780,
864,,1,
13782,23,339,
1,1,55,
1,,5,
311,19,263,
,,22,
6,,41,
203834,,,1
7906,15,3,
,2,28,
2,2,15,
40,249,,
551,3,17,
7,205,,
5,8,314,
2,,5,
2206,43,1081,
4067,12,205,
3,272,,
,,3,
1,,5,
2,206,,
10,21,114,
104635,30,687,
36935,72,578,
357,11,69,
1,2,35,
4,,54,
887,43,334,
65,18,130,
,,,
,13,1,
533,132,1855,
17,108,366,
40,27,1172,
1,1,135,
1,1,58,
34,18,252,
9,6,197,
4,61,,
4,115,,
,34,,
,5,,
6,600,,
5,4,218,
18,568,,
14,720,2,
120,2,324,
2,,2,
2,,20,
,2,15,
1,,14,
4,1,7,
45,,4952,
175,47,399,
1,4,6,
2,42,,
1309,,276,1
,,19,
36931,2,95,
20,,19,
2,18,,
31,956,,
,,2,
12893,,2,
7,615,,
11,11,332,
6,106,,
67,791,,
231646,3,17,1
,6,,
,11,80,
4,,98,
65,71,5000,
11,566,,
1655,,131,
3,1,15,
17,25,76,
,31,,
23,23,139,
81,11,469,
,31,,
27,22,70,
,2,,
,1,28,
41,120,,
908,3,80,
5547,8,142,
2,1,139,
1516,1,1196,
6,113,,
,,6,
1,2,20,
201,,19,
7,,194,
10,183,,
58,426,,
5642,24,267,1
,1,4,
251,19,3923,
5,162,,
6319,22,136,1
13,3,354,
3,14,,
,33,,
1,,3,
,1,14,
104,12,108,
37,,34,
,5,44,
60,1,29,
,3,46,
4,8,224,
7020,7,265,
60,150,,
7,146,,
,10,,
21004,5,52,
40,,383,
36762,53,137,
20,399,,
118,11,14,
9,771,,
2,56,288,
,6,15,
,,,
1,11,,
84,1922,,
4,52,,
1197,18,63,
,10,,
5,111,1,
,,9,
,,4,
16,,135,
,5,,
3,118,,
,9,24,
,1,29,
1,5,52,
8,754,,
,4,,
,11,,
,10,,
4210,6,2587,1
63,15,318,
17,172,,
60,1,412,
4,44,,
2347,,7,
,,111,
7,1,7,
200,5,6,
3,4,,
3431,89,3529,
,,4,
3,2673,,
83,607,,
355,2690,,
2579,10,73,
13,1,23,
30,2,18,
5035,1,6,
161,1,27,
,478,,
136,25,104,
7,65,,
,1,3,
5120,13,361,
9,,87,
2,8,190,
1,,2,
20,32,892,
,1,,
21,488,,
9,1,288,
,2,,
36,23,78,
31,4,77,
,,9,
57,,,
,33,,
2,3,25,
2,109,,
,3,,
,,32,
31,287,,
108,107,,
26210,,,
3,453,,
3,1,207,
2,,7,
2,2,50,
80,32,387,
51293,54,243,
16481,2,28,
45,1,54,
7,19,156,
,19,,
97,,4957,
25,,12,
21,724,,
,4,128,
,8,,
10,33,294,
1,9,,
1,18,,
31,749,,
,1,4,
15,,9,
7253,20,164,
8,1,432,
95727,48,300,
36,212,,
11,19,186,
17,1,89,
,,74,
2,2,,
358,,,
14169,7,82,
2,6,,
,6,,
,50,,
,34,,
2,25,,
3,161,422,
870,46,186,
6,10,102,
20,55,1325,
1,1,3,
2,,3,
,17,,
2,205,,
5,1,292,
1,36,,
605,3,26,
,,1,
1,2,11,
9074,,4,
4,66,,
17,,183,
,1630,,
12,8,175,
5811,,,
6,2,61,
3784,,,
34,14,141,
12,4,76,
4,26,,
3,1,14,
1,15,,
39,7,215,
2,,80,
,36,,
,1,,
,,4,
246,,3,
12,99,,
7,5,185,
5267,146,1854,3
1,,12,
,2,,
3,,165,
,,1,
2,28,,
2,115,,
67,,4962,
,4972,,
18907,15,43,
5307,,26,
2707,1,52,
,18,,
1,5,,
5,65,,
3,4,149,
84,463,,
20,837,,
1,1,17,
,,2,
,,1,
,,6,
,,3,
,239,,
,16,,
,,2,
10,,21,
6,323,,
4,2,167,
3,2933,,
7,5,11,
1,13,,
1,27,,
5,55,408,
1,9,162,
13,,35,
,,8,
8,3,129,
,2,1,
3,2089,,
265,,8,
,,5,
5,7,159,
1,68,,
103,9,152,
3,30,,
,,13,
172,24,372,
,,6,
,5,,
67,2,60,
123,6,5000,
,1038,,
119,,357,
9,,1,
2,,25,
4,36,,
,15,,
,,2,
10,313,315,
305,103,559,
3,1227,,
,2,6,
,,21,
32,16,2090,
6,21,573,
48,3,2181,
13448,7,80,
5,,13,
3,29,,
3,4,21,
,29,,
,22,,
13,152,,
37,,4953,
2,105,,
3,2,17,
,653,,
1,1,53,
,,1,
62,,4953,
2,1,40,
11,3373,,
,63,,
1,13,26,
1,,1,
3,69,,
44,111,,
16,13,127,
7,47,,
4,398,,
6,1,107,
259,30,149,
,,81,
9,,422,
40,4992,,
,16,,
412,,1,
,7,31,
21,59,1491,
49344,,1,
39649,3,126,
